code;name;dimension;description;bulb;Stok;discprice;price;maliyet
PND1412-B;POLIRETEN SARKIT/PENDANT;ÖLÇÜLER 120 CM  ;ÜRÜN POLİRETAN  ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILIR.;E27 X 1  MAX 20 W;YOK;11000;15400;Bilgi Yok
PND1671;POLIRETEN  APLİK/WALL;ÖLÇÜLER 32X11 CM  İÇ ÖLÇÜ 19 Q  ;ÜRÜN POLİRETEN VE GLOB CAM MALZEMEDEN  ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILIR.;G9 X 1  MAX 10 W;YOK;4500;6500;2.500,00 TL
PND1672;HENA POLIRETEN  APLİK/WALL;ÖLÇÜLER 70 Q   ;ÜRÜN POLİRETEN VE GLOB CAM MALZEMEDEN  ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILIR.;E27 X 1  MAX 20 W;YOK;11000;15400;2.750,00 TL
PND1672-A;HENA POLIRETEN  APLİK/WALL;ÖLÇÜLER 60 Q;ÜRÜN POLİRETAN  ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILIR.;E27 X 1  MAX 20 W;YOK;10000;14000;2.550,00 TL
PND1672-B;HENA POLIRETEN  APLİK/WALL;ÖLÇÜLER 50 Q;ÜRÜN POLİRETEN VE GLOB CAM MALZEMEDEN  ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILIR.;E27 X 1  MAX 20 W;YOK;9500;13300;2.400,00 TL
PND1672-C;HENA POLIRETEN  APLİK/WALL; ÖLÇÜLER  40 Q;ÜRÜN POLİRETEN VE GLOB CAM MALZEMEDEN  ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILIR.;E27 X 1  MAX 20 W;YOK;7000;9800;1.750,00 TL
PND1673;HENA POLIRETEN  APLİK/WALL; ÖLÇÜLER  34X24X20 CM;ÜRÜN POLİRETEN VE GLOB CAM MALZEMEDEN  ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA VE BOYA YAPILIR.;E27 X 1  MAX 20 W;YOK;3750;5250;1.875,00 TL
PND1218-W;MELT SARKIT/PENDANT;28X120 CM;ÜRÜN AKRİLİK MALZEMEDEN ÜRETİLMİŞTİR RENK ALTERNATİFİ  BAKIR-KROM-ALTIN -FÜME;E27X1;YOK;3800;5320;1.300,00 TL
PND1218;MELT SARKIT/PENDANT;28X120 CM;ÜRÜN AKRİLİK VE CAM MALZEME ALTERNATİFİYLE ÜRETİLMİŞTİR RENK ALTERNATİFİ  BAKIR-KROM-ALTIN ;E27X1;YOK;3800;5320;1.450,00 TL
PND1218-A;MELT SARKIT/PENDANT;36X 120 CM ;ÜRÜN AKRİLİK VE CAM MALZEME ALTERNATİFİYLE ÜRETİLMİŞTİR RENK ALTERNATİFİ  BAKIR-KROM-ALTIN ;E27 X 1;YOK;5900;8260;2.450,00 TL
PND1218-D;MELT ABAJUR/TABLE LAMP ; 28 X 44 cm ;ÜRÜN AKRİLİK VE CAM MALZEME ALTERNATİFİYLE ÜRETİLMİŞTİR RENK ALTERNATİFİ  BAKIR-KROM-ALTIN ;E27 X 1;YOK;6500;9100;1.720,00 TL
PND1218-L;MELT LAMBADER/FLOOR LAMP;Bilgi Yok;ÜRÜN AKRİLİK VE CAM MALZEME ALTERNATİFİYLE ÜRETİLMİŞTİR RENK ALTERNATİFİ  BAKIR-KROM-ALTIN ;E27;YOK;17500;24500;Bilgi Yok
PND1246;HEDGEHOG KİRPİ AVİZE/CHANDELIER ;70 Q;ÜRÜN PRİNÇ MALZEMEDEN ÜRETİLMEKTEDİR.;E14;var;14000;19600;Bilgi Yok
PND17408;SNAKE  APLİK/WALL;ÖLÇÜLER 32x25x89cm;ÜRÜN DÖKÜM MALZEMEDEN OLUŞMAKTADIR.;E14;ÜRETİM;6900;9660;Bilgi Yok
