code;name;dimension;description;bulb;Stok;discprice;price;maliyet
PND1426-W3;PETRA APLİK 2L;;METAL VE MERMER  MALZEMEDEN ÜRETİLMEKTEDİR.;G9;N/A;2500
PND1691-C;"MARCOAVİZE/CHANDELIER;35 Q;ÜRÜN METALVE AKRİLİK MALZEMEDEN OLUŞMAKTADIR.ŞEFFAF RENK MEVCUTTUR.;E14x4;16500;23100
PND1266-A; SOFIA 10 L SARKIT/PENDANT;UZUNLUK:100cm KABLO BOYU:80CM; ÜRÜN PASLANMAZ VE CAMDAN OLUŞMAKTADIR İSTENİLEN CAM RENGİÜRETİLMEKTEDİR;19750;27650;
HASIR-1;Hasır sarkıt büyük;25cm 50cm; ; E27;YOK;;8900;  
HASIR-2;Hasır sarkıt; 35cm 120 cm; ; E27;;;13500;
HASIR-3;Hasır sarkır; ; ;;;;3900;
HASIR-4;Hasır;;;;;1750;
PND1328-ST; "LOTUS 1L SARKIT/PENDANT;30X18X100 CM;METAL MALZEME ROZANS KRİSTAL CAMDAN OLUŞMAKTADIR;G9;;3750;5250"
PND1318;BOMP LAMBADER;48X140 CM;METAL VE ÜFLEME CAM. CAM RENGİ İSTENİLEN RENK BOYANA BİLİR; E25;;19600;26600;
PND1238;"İSTRİDYE YUVARLAK";"ÇAP 50CM METAL VE CAM"; E14;15200;21000;
PND1238-L;"İSTRİDYE LİNEAR";"80X40 CM METAL VE CAM"; E14;15200;21000;
PND1426-W3;"PETRAAPLİK3L ";"41CMX15CM PİRİNÇROZANS";STRP LED;2250;3150;
PND1426-W5;"PETRAAPLİK5L ";"75CMX15CM PİRİNÇROZANS";STRP LED;3750;5250;
PND1426-W7;"PETRAAPLİK7L ";"110CMX15CM PİRİNÇROZANS";STRP LED;5250;7350;
PND1426;PETRAOVALAVİZE/CHANDELIER;"100X 42X17CM";STRP LED;32500;45500;
PND1426-A;PETRAYUVARLAKAVİZE/CHANDELIER;"60X17CM ";STRP LED;27500;38500;
PND1426-B;PETRALİNERAVİZE/CHANDELIER;"85X15X80CM ";STRP LED;46200;64500;
FS-468;TRAVERTER SUTUN;60X30 X30 CM;DOĞAL TRAVERTEN MERMER MALZEMEDEN OLUŞMAKTADIR;YOK;8980;13000;
FS-469;TRAVERTER SUTUN;100X30 X30 CM;DOĞAL TRAVERTEN MERMER MALZEMEDEN OLUŞMAKTADIR;YOK;11200;16000;
FS-467;TRAVERTER SUTUN;80X30 X30 CM;DOĞAL TRAVERTEN MERMER MALZEMEDEN OLUŞMAKTADIR;YOK;9900;14000;
PND1729;LİZ SARKIT;60 CM ;AHŞAP  MALZEME CNS KESİM TASARIM  NATUREL AHŞAP RENK OLUP, 3000 K IŞIK RENGİNE SAHİPTİR STOKLARLA SINIRLIDIR;COB LED;VAR;8100;11340;2.700,00 TL
PND1729-B;LİZ SARKIT;80 CM ;AHŞAP  MALZEME CNS KESİM TASARIM  NATUREL AHŞAP RENK OLUP, 3000 K IŞIK RENGİNE SAHİPTİR STOKLARLA SINIRLIDIR;COB LED;VAR ;13500;18900;4.500,00 TL
PND1699-A;SHADOW SARKIT ;16X48 CM ;ÜRÜN CAM MAZLEMEDEN ÜRETİLMEKTEDİR.  ÜRÜN KENDİNDEN LEDLİDİR. ;DS LED;VAR ;5700;7980;1.900,00 TL
PND1699-B;SHADOW SARKIT ;18X48 CM ;ÜRÜN CAM MAZLEMEDEN ÜRETİLMEKTEDİR.  ÜRÜN KENDİNDEN LEDLİDİR. ;DS LED;VAR ;6450;9030;2.150,00 TL
PND1699-C;SHADOW SARKIT ;18X70 CM ;ÜRÜN CAM MAZLEMEDEN ÜRETİLMEKTEDİR.  ÜRÜN KENDİNDEN LEDLİDİR. ;DS LED;VAR ;6750;9450;2.250,00 TL
PND1717;FLOS CAM SARKIT ;Bilgi Yok;ÜRÜN CAM MAZLEMEDEN ÜRETİLMEKTEDİR.  ÜRÜN KENDİNDEN LEDLİDİR. ;DS LED ;VAR ;12450;17430;4.150,00 TL
PND1717-B;FLOS LAMBADER ;28*128 CM ;ÜRÜN CAM MAZLEMEDEN ÜRETİLMEKTEDİR.  ÜRÜN KENDİNDEN LEDLİDİR. ;DS LED ;VAR ;34050;47670;11.350,00 TL
PND1692;DEW SARKIT;300x5 cm;DERİ KUMAŞ VE CAM MALZEMEDEN ÜRETİLMİŞTİR. 7 CAM ADET BULUNMAKTADIR.8 CM,10 CM ,12 CM,15 CM CAM ÖLÇÜLERİNDEDİR.SİYAH VE TABA RENKLERİ BULUNMAKTADIR. FÜME RENK CAM  ;DS LED;VAR ;11250;15750;4.500,00 TL
PND1692-B;DEW SARKIT;300x150 cm;DERİ KUMAŞ VE CAM MALZEMEDEN ÜRETİLMİŞTİR. 14 ADET CAM BULUNMAKTADIR.8 CM,10 CM ,12 CM,15 CM CAM ÖLÇÜLERİNDEDİR.SİYAH VE TABA RENKLERİ BULUNMAKTADIR. FÜME RENK CAM  ;DS LED;VAR ;22500;31500;9.000,00 TL
PND1762-A;NORDIC SARKIT;90X200 CM ;DERİ KUMAŞ VE CAM MALZEMEDEN ÜRETİLMİŞTİR. 5 ADET CAM OLUŞMAKTADIR.TABA RENKLERİ BULUNMAKTADIR. BUZ BEYAZ RENK CAM  ;DS LED;VAR ;12000;16800;7.770,00 TL
PND1762-B;NORDIC LINER SARKIT;130x200 CM ;DERİ KUMAŞ   VE METAL MALZEMEDEN ÜRETİLMİŞTİR. 3 ADET BAŞLIK BULUNMAKTADIR. TABA RENKLERİ  BUZ BEYAZ RENK CAM  25 W;DS LED;VAR ;10000;14000;5.420,00 TL
PND1698;GALAKSY SARKIT;200x10 CM ;  AKRİLİK VE METAL MALZEMEDEN ÜRETİLMİŞTİR. 10  CM ÇAPINDA  22 ADET TOPTAN OLUŞMAKTADIR. 80 W  3000 KELVİN GÜNIŞIĞI  MAX 400 CM KADAR ÜRETİLMEKTEDİR.;DS LED;VAR ;16500;23100;8.500,00 TL
PND1698-B;GALAKSY SARKIT;60X19X4 CM ;  AKRİLİK VE METALAMALZEMEDEN ÜRETİLMİŞTİR. 10  CM ÇAPINDA  16 ADET TOPTAN OLUŞMAKTADIR. 60 W  3000 KELVİN GÜNIŞIĞI ;DS LED;VAR ;12500;17500;6.000,00 TL
PND1698-D;GALAKSY 1 L ;45 CM  2 TOP 10 CM  1 TOP 15 CM;  AKRİLİK VE METALAMALZEMEDEN ÜRETİLMİŞTİR. 10  CM ÇAPINDA  3 ADET TOPTAN OLUŞMAKTADIR. ;DS LED;VAR ;4000;5600;2.000,00 TL
PND1706;CLOUD SARKIT ;Q:45 cm Led 3 Renk;  AKRİLİK VE METALAMALZEMEDEN ÜRETİLMİŞTİR. ;DS LED;VAR ;6000;8400;3.000,00 TL
PND1693;RANDOM SARKIT;28 Q; Amorf şekil  cam  malzemeden üretilmiştir. Renk seçenekleri Bal, Füme , Şeffaf ;G9 ;YOK;3750;5250;1.250,00 TL
PND1693-F;RANDOM LAMBADER;165X40 CM; Amorf şekil  cam  ve metal gövdeden oluşmaktadır. Renk seçenekleri Bal, Füme , Şeffaf ;E14;YOK;19500;27300;Bilgi Yok
PND1694;87 SARKIT;H:80 Q:30 ; El YAPIMI Cam  malzemeden üretilmiştir. Renk seçenekleri BEYAZ ;DS LED;VAR ;7500;10500;2.500,00 TL
PND1694-B;87 SARKIT;H:80 Q:30  X3; El YAPIMI Cam  malzemeden üretilmiştir. Renk seçenekleri BEYAZ ;DS LED;VAR ;22500;31500;7.500,00 TL
PND1695;ORIJIN DERİ SARKIT;H:115 CM  Q: 15 CM ; Deri kumaş ve Cam Kristal malzemeden üretilmiştir. Siyah Deri Kahve Deri Beyaz Deri ;G9 LED;YOK;4500;6300;1.500,00 TL
PND1696;OCHRE SARKIT;20 Q;  Cam Kristal malzemeden üretilmiştir.  ;G9 LED;YOK;4500;6300;1.500,00 TL
PND1697;MİRA AVİZE;80X50 CM  ;Ürün metal tel malzemeden üretilmiş olup,kapsül ledler ve kristal taştan üretilmektedir. Renk krom şeffaf;LED;VAR;18000;25200;Bilgi Yok
PND1697-A;MİRA AVİZE/CHANDELIER;60 Q;Ürün metal tel malzemeden üretilmiş olup,kapsül ledler ve kristal taştan üretilmektedir. Renk krom şeffaf;LED;VAR;16250;22750;6.500,00 TL
PND1697-B;MİRA AVİZE;80 Q;Ürün metal tel malzemeden üretilmiş olup,kapsül ledler ve kristal taştan üretilmektedir. Renk krom şeffaf;LED;VAR;35000;49000;17.500,00 TL
PND1697-C;MİRA AVİZE;100 CM;Ürün metal tel malzemeden üretilmiş olup,kapsül ledler ve kristal taştan üretilmektedir. Renk krom şeffaf;LED;VAR;24000;33600;9.300,00 TL
PND1697-E;MİRA AVİZE;150 CM ;Ürün metal tel malzemeden üretilmiş olup,kapsül ledler ve kristal taştan üretilmektedir. Renk krom şeffaf;LED;VAR;30400;42560;15.200,00 TL
PND1247;VIBIA COSMOC SARKIT;60X 120 CM ; POLİKARBON  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir.  ;DS LED;VAR ;13500;18900;4.750,00 TL
PND1247-A;VIBIA COSMOC SARKIT;16 Q; POLİKARBON  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir.  ;DS LED;VAR ;3200;4480;690,00 TL
PND1247-B;VIBIA COSMOC SARKIT;22 Q; POLİKARBON  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir.  ;DS LED;VAR ;3900;5460;825,00 TL
PND1746;KOSMİ APLİK ;40 Q;METAL MALZEMEDEN ÜRETİLMİŞTİR.;G9;YOK;3250;4550;Bilgi Yok
PND1747;PARED APLİK ;30X50X10 CM ;METAL MALZEMEDEN ÜRETİLMİŞTİR.;G9;YOK;2800;3920;Bilgi Yok
PND1748;LAMPARA APLİK  ;35X35X11 CM ;METAL VE HASIR MALZEMEDEN ÜRETİLMİŞTİR.;E27;YOK;3300;4620;Bilgi Yok
PND1749-A;MODO YENİ APLİK;18X80 CM;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR.;E27;YOK;1200;1680;Bilgi Yok
PND1749-B;MODO YENİ SARKIT;100X30 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR.;E27;YOK;5000;7000;Bilgi Yok
PND1749-C;MODO YENİ SARKIT;100X120 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR.;E27;YOK;5000;7000;Bilgi Yok
PND1750;SİDE APLİK;35X35X30;METAL MALZEMEDEN ÜRETİLMİŞTİR.;E27;YOK;2700;3780;Bilgi Yok
PND1751;NEGLO APLİK;25X20 30 CM ;METAL MALZEMEDEN ÜRETİLMİŞTİR.;E27;YOK;1800;2520;Bilgi Yok
PND1752-1;FUT APLİK;50X15X18 CM ;METAL MALZEMEDEN ÜRETİLMİŞTİR.;E14;YOK;1400;1960;Bilgi Yok
PND1752-2;FUT APLİK;25X15X25  CM;METAL MALZEMEDEN ÜRETİLMİŞTİR.;E14;YOK;1400;1960;Bilgi Yok
PND1271;MESHMATIC SARKIT;40 Q;Ürün metal malzemeden üretilmektedir. Bakır,krom,eskitme renkleri mevcuttur.;DS LED;VAR ;9000;12600;3.000,00 TL
PND1272;MESHMATIC SARKIT;60 Q;Ürün metal malzemeden üretilmektedir. Bakır,krom,eskitme renkleri mevcuttur.;DS LED;VAR ;15300;21420;5.100,00 TL
PND1273;MESHMATIC SARKIT;90 Q;Ürün metal malzemeden üretilmektedir. Bakır,krom,eskitme renkleri mevcuttur.;DS LED;VAR ;36750;51450;12.250,00 TL
PND1647;SPOKES SARKIT;38X38 CM ;Ürün metal malzemeden üretilmektedir. Siyah , Beyaz,Bakır,Krom,Eskitme renkleri mevcuttur;LED;VAR ;6300;9000;2.100,00 TL
PND1647-A;SPOKES SARKIT;32X72 CM ;Ürün metal malzemeden üretilmektedir. Siyah , Beyaz,Bakır,Krom,Eskitme renkleri mevcuttur;LED;VAR ;6600;9500;2.200,00 TL
PND1647-B;SPOKES SARKIT;52 X 52 CM;Ürün metal malzemeden üretilmektedir. Siyah , Beyaz,Bakır,Krom,Eskitme renkleri mevcuttur;LED;VAR ;7200;12000;2.400,00 TL
PND1647-D;SPOKES SARKIT;70X73 CM;Ürün metal malzemeden üretilmektedir. Siyah , Beyaz,Bakır,Krom,Eskitme renkleri mevcuttur;LED;VAR ;9600;15000;3.200,00 TL
PND1737-A;RENOVA SARKIT  ;D:18  CM ;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR.  FÜME RENK  ;DS LED;VAR ;2625;3675;1.050,00 TL
PND1737-B;RENOVA SARKIT  ;20 Q;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR.  FÜME RENK  ;DS LED;VAR ;2625;3675;1.050,00 TL
PND1737-C ;RENOVA SARKIT  ;30 Q ;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR.  FÜME RENK  ;DS LED;VAR ;3500;4900;1.400,00 TL
PND1737-D ;RENOVA SARKIT  ;30 Q ;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR.  BAL RENK  ;DS LED;VAR ;2625;3675;1.050,00 TL
PND173O-A;BUĞU SARKIT ;D:32,5X42 CM ;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR.  ;DS LED;VAR ;4800;6720;2.400,00 TL
PND1730-B;BUĞU SARKIT ;D:325 X 55 CM ;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR.  ;DS LED;VAR ;4800;6720;2.400,00 TL
PND1730-C;BUĞU SARKIT ;D:32,5X60 CM ;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR.  ;DS LED;VAR ;5000;7000;2.500,00 TL
PND1738-A;DEK ABAJUR ;M 33 CM;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR. FÜME BAL RENKTİR  ;DS LED;VAR ;6250;8750;2.500,00 TL
PND1738-B;DEK ABAJUR ;33 CM;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR. FÜME ŞEFFAF RENKTİR  ;DS LED;VAR ;6250;8750;2.500,00 TL
PND1739;OKTAVYA ABAJUR;26X40 CM ;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR. AMBER  ŞEFFAF RENKTİR  ;E27;YOK;#DEĞER!;#DEĞER!;Bilgi Yok
PND1328-C;COFFEI SARKIT ;33 CM ;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR. BAL -PİRİNÇ RENKTİR. ;DS LED;VAR;4125;5775;1.650,00 TL
PND1328-A;COFFEI SARKIT ;33 CM ;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR. FÜME -PİRİNÇ RENKTİR. ;DS LED;VAR;4125;5775;1.650,00 TL
PND1328-B;COFFEI ABAJUR ;23 CM ;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR. FÜME -PİRİNÇ RENKTİR. ;DS LED;VAR;4250;5950;1.700,00 TL
PND1328;COFFEI LAMBADER;33X145 CM ;ÜRÜN CAM MALZEMEDEN ÜRETİLMEKTEDİR. FÜME -PİRİNÇ  BAL-PİRİNÇ RENKLERİ MEVCUT ;DS LED;VAR;8625;12075;3.450,00 TL
PND1743;ŞAPKA LAMBADER;140X40X40 CM ;ÜRÜN MERMER VE METAL MALZEMEDEN ÜRETİLMEKTEDİR.;E14;YOK;9500;13300;Bilgi Yok
PND1744;ŞAPKA KONİ LAMBADER;140X40X40 CM ;ÜRÜN MERMER VE METAL MALZEMEDEN ÜRETİLMEKTEDİR.;G9;YOK;8500;11900;Bilgi Yok
PND1745;MODO LAMBADER 2L ;155X18X40 CM ;ÜRÜN MERMER VE METAL MALZEMEDEN ÜRETİLMEKTEDİR.;E14;YOK;8750;12250;Bilgi Yok
PND1688-B;MAFSALLI SPOT ;Bilgi Yok;METAL MALZEMEDEN ÜRETİLMEKTEDİR.;GU10;YOK;1650;2475;850,00 TL
PND1731;SPOT LAMBADER ;160X40 CM ;MERMER VE METAL MALZEMEDEN ÜRETİLMEKTEDİR. YÖNLENDİRİLEBİLİR 3 KAFADAN OLUŞMAKTADIR.;GU10 ;VAR ;8400;11760;4.200,00 TL
PND1742-A;SEHPA LAMBADER ;133 X 40 CM ;ÜRÜN MERMER VE METAL MALZEMEDEN ÜRETİLMEKTEDİR.;GU10;YOK;12500;17500;Bilgi Yok
PND1742-B;SEHPA LAMBADER 2;155X30X35 CM ;ÜRÜN MERMER VE METAL MALZEMEDEN ÜRETİLMEKTEDİR.;GU10;YOK;12500;17500;Bilgi Yok
PND1741;CHIL SARKIT ;28 CM ;MERMER VE METAL MALZEMEDEN ÜRETİLMEKTEDİR. ŞEFFAF PİRİNÇ RENK;DSLED;VAR ;4500;6300;2.250,00 TL
PND1740-A;GRAND SARKIT;23 X 13 CM;ÜRÜN CAM MAZLEMEDEN ÜRETİLMEKTEDİR.  ÜRÜN KENDİNDEN LEDLİDİR. ;DSLED;VAR ;2700;3780;1.350,00 TL
PND1740-B;GRAND SARKIT;16 X 17 CM;ÜRÜN CAM MAZLEMEDEN ÜRETİLMEKTEDİR.  ÜRÜN KENDİNDEN LEDLİDİR. ;DSLED;VAR ;3000;4200;1.500,00 TL
PND1740-C;GRAND SARKIT;28 X 10 CM ;ÜRÜN CAM MAZLEMEDEN ÜRETİLMEKTEDİR.  ÜRÜN KENDİNDEN LEDLİDİR. ;DSLED;VAR ;3600;5040;1.800,00 TL
PND1732;SPOT LAMBADER 2 /FLOOR LAMP ;160X32 CM ;MERMER VE METAL MALZEMEDEN ÜRETİLMEKTEDİR. YÖNLENDİRİLEBİLİR METAL ŞAPKADAN OLUŞMAKTADIR.;E27;YOK;5200;7280;2.600,00 TL
PND1653;CIRQUE SARKIT;25x75 cm;METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR. TEKLİ SATILMAKTADIR. 2L-3L YATAY VERSİYONLARI YAPILABİLİR.;LED;VAR ;5760;8064;1.920,00 TL
PND1753;LUCA LAMBEDER;171x60 cm;METAL MERMER VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.;G9 LED;YOK;12500;17500;1.900,00 TL
PND1662;VİP SARKIT 1L ;82X3,5;METAL MALZEMEDEN OLUŞMAKTADIR. İÇİ DOLU PLEXİ KULLANILMIŞTIR. RAL KODUNA GÖRE İSTENİLEN RENK BOYANMAKTADIR. KAPLAMA RENKLERİ MEVCUTTUR;G9 LED;VAR;1200;1680;475,00 TL
PND1662-A;VİP SARKIT 3L  ;20 Q;METAL MALZEMEDEN OLUŞMAKTADIR. İÇİ DOLU PLEXİ KULLANILMIŞTIR. RAL KODUNA GÖRE İSTENİLEN RENK BOYANMAKTADIR. KAPLAMA RENKLERİ MEVCUTTUR;G9 LED;VAR;2900;4060;1.425,00 TL
PND1662-B;VİP SARKIT 9 L ;35 Q;METAL MALZEMEDEN OLUŞMAKTADIR. İÇİ DOLU PLEXİ KULLANILMIŞTIR. RAL KODUNA GÖRE İSTENİLEN RENK BOYANMAKTADIR. KAPLAMA RENKLERİ MEVCUTTUR;G9 LED;VAR;9800;13720;4.275,00 TL
PND1688;SPOT ARMATÜR;60 CM ;METAL MALZEMEDEN ÜRETİLMEKTEDİR. BAKIR , KROM, ALTIN , ESKİTME KAPLAMA RENKLERİ YAPILABİLİR.;GU10;YOK;2750;11000;1.000,00 TL
PND1688-A;SPOT APLİK;20 Q;METAL MALZEMEDEN ÜRETİLMEKTEDİR. YÖNLENDİRİLEBİLİR BAŞLIK  BAKIR , KROM, ALTIN , ESKİTME KAPLAMA RENKLERİ YAPILABİLİR.;GU10;YOK;1800;7200;475,00 TL
PND1652;NOSA APLİK;YÜKSEKLİK : 75 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR. 3 ADET 8 Q GLOB CAM BULUNMAKTADIR.;G9;YOK ;5700;7980;1.900,00 TL
PND1254;PAU SARKIT ;25 Q;METAL MALZEMEDEN OLUŞMAKTADIR. RAL KODUNA GÖRE İSTENİLEN RENK BOYANMAKTADIR.;E27;YOK;1875;2625;Bilgi Yok
PND1254/W;PAU APLİK;ROZANS : 17 CM YÜKSEKLİK : 35 CM   ;METAL MALZEMEDEN OLUŞMAKTADIR. RAL KODUNA GÖRE İSTENİLEN RENK BOYANMAKTADIR.;E14;YOK;1275;1785;Bilgi Yok
PND1344/A;BRASS SARKIT ;16X31 CM;METAL VE PLEXİ GLAS MALZEMEDEN ÜRETİLMEKTEDİR.;LED;VAR ;3000;2800;685,00 TL
PND1344/B;BRASS SARKIT ;23X28 CM;METAL VE PLEXİ GLAS MALZEMEDEN ÜRETİLMEKTEDİR.;LED;VAR;3250;3900;945,00 TL
PND1344/C;BRASS SARKIT ;40X13 CM;METAL VE PLEXİ GLAS MALZEMEDEN ÜRETİLMEKTEDİR.;LED;VAR;3750;4100;990,00 TL
PND1443-W;CLIPS APLİK;135X88 CM ;Bilgi Yok;G9;YOK;8640;12096;Bilgi Yok
PND1210-T;ECLİPSE ABAJUR; 40X25 CM ;ÜRÜN METAL VE  PLEXİ  MALZEMEDENOLUŞMAKTADIR.;LED;VAR ;4500;6300;975,00 TL
PND1210-1;ECLİPSE SARKIT ; 18 Q  ;ÜRÜN METAL VE  PLEXİ  MALZEMEDENOLUŞMAKTADIR.;LED;VAR ;4500;6300;1.750,00 TL
PND1210-2;ECLİPSE SARKIT ; 25 Q ;ÜRÜN METAL VE  PLEXİ  MALZEMEDENOLUŞMAKTADIR.;LED;VAR ;5500;7700;2.000,00 TL
PND1410;HAT SARKIT;25X30CM;ÜRÜN CAM VE METAL MALZEMEDEN OLUŞMAKTADIR .İSTENİLEN RENK KAPLANABİLİR ;E27;YOK;2250;3150;Bilgi Yok
PND1286;PIPE BALL;ÖLÇÜLER 29X5 CM ;ÜRÜN METAL METAL MALZEMEDEN ÜRETİLMİŞTİR.  İSTENİLEN RENK KAPLAMA YAPILIR.;E27 X 1  MAX 20 W;YOK;875;1225;Bilgi Yok
PND1689;KATERİNA APLİK;34x11 cm ;METAL  VE PLEXİ MALZEMEDEN ÜRETİLMEKTEDİR.;LED;VAR ;4000;6000;2.000,00 TL
PND1310/W;GALERIA APLİK;13 x 14   YÜKSEKLİK 62 cm;ÜRÜN MERMER VE METAL MALZEMEDEN ÜRETİLMEKTEDİR.;E14;YOK;5500;7700;16 adet 
 PND1393-W;OBLUX APLİK; Q :30  H: 59 Cm  ALT :8,5  ORTA: 9 CM ;MERMER  VE METAL MALZMEDEN ÜRETİLMEKTEDİR.;G9 ;LED;5800;8120;Bilgi Yok
PND1648;VERONA SARKIT;20x20 CM ;Onyx mermer ve metal malzemeden oluşmaktadır. ÜRÜN TEKLİDİR;LED;VAR ;5500;7500;1.820,00 TL
PND1648-A;VERONA APLİK;20 Q;Onyx mermer ve metal malzemeden oluşmaktadır.;LED;VAR ;5500;6000;1.800,00 TL
PND1648-B;VERONA 2L SARKIT;20 X35 CM ;Onyx mermer ve metal malzemeden oluşmaktadır.;LED;VAR ;8500;10000;2.400,00 TL
PND1649;ONYX SARKIT;30 Q;ONYX MERMER MALZEMEDEN OLUŞMAKTADIR.İÇ KISIMLARINDAN ŞERİT LED KULLANILMIŞTIR.;LED;VAR ;3900;5460;1.900,00 TL
PND1649-B;ONYX SARKIT;25 Q;ONYX MERMER MALZEMEDEN OLUŞMAKTADIR.İÇ KISIMLARINDAN ŞERİT LED KULLANILMIŞTIR.;LED;VAR ;3800;5320;1.500,00 TL
PND1649-A;ONYX SARKIT;30 Q;ONYX MERMER MALZEMEDEN OLUŞMAKTADIR.İÇ KISIMLARINDAN ŞERİT LED KULLANILMIŞTIR.;LED;VAR ;4200;5880;1.900,00 TL
PND1649-C;ONYX SARKIT;ROZANS 30 Q MERMER 2 ADET 25 Q 1 ADET 30 Q;ONYX MERMER MALZEMEDEN OLUŞMAKTADIR.İÇ KISIMLARINDAN ŞERİT LED KULLANILMIŞTIR.;LED;VAR ;13800;19320;5.400,00 TL
PND1649-D;ONYX SARKIT;ROZANS 40 Q MERMER 4 ADET 25 Q 3 ADET 30 Q;ONYX MERMER MALZEMEDEN OLUŞMAKTADIR.İÇ KISIMLARINDAN ŞERİT LED KULLANILMIŞTIR. IŞIK RENGİ GÜN IŞIĞIDIR.;LED;VAR ;39500;55300;11.700,00 TL
PND1702;FOX MARBLE  SARKIT;ROZANS 60 Q MERMER 9L   H 160cm;ONYX MERMER MALZEMEDEN OLUŞMAKTADIR.İÇ KISIMLARINDAN ŞERİT LED KULLANILMIŞTIR. IŞIK RENGİ GÜN IŞIĞIDIR.;LED;VAR ;39000;46800;19.500,00 TL
PND1703;ROT MARBLE SARKIT;ROZANS 90X37 CM  MERMER 7L   H 160cm;ONYX MERMER MALZEMEDEN OLUŞMAKTADIR.İÇ KISIMLARINDAN ŞERİT LED KULLANILMIŞTIR. IŞIK RENGİ GÜN IŞIĞIDIR.;LED;VAR ;33000;39600;16.500,00 TL
PND1704;TOR MARBLE SARKIT;ROZANS 80X30  MERMER 7L   H 160cm Mermer çap 8 cm ;ONYX MERMER MALZEMEDEN OLUŞMAKTADIR.İÇ KISIMLARINDAN ŞERİT LED KULLANILMIŞTIR. IŞIK RENGİ GÜN IŞIĞIDIR.;LED;VAR ;38000;45600;19.000,00 TL
PND1650;LOPI APLİK;64X14X18;ÜRÜN METAL VE PLEXİ GLAS MALZEMEDEN ÜRETİLMİŞTİR. YÜKSEKLİK 64 CM EN 14 CM DERİNLİK 18 CM ;LED;VAR ;6750;9450;2.250,00 TL
PND1651;JENGA APLİK;YÜKSEKLİK : 50 cm ;ÜRÜN METAL VE PLEXİ GLAS MALZEMEDEN ÜRETİLMİŞTİR. YEŞİL MERMER GÖRÜNÜM SİYAH MERMER GÖRÜNÜM BEYAZ MERMER GÖRÜNÜM   SİYAH-BEYAZ DÜZ RENKLERİ MEVCUTTUR;LED;VAR ;2700;3780;900,00 TL
PND1655;MERİDIAN SARKIT;20 Q;METAL MERMER VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.;E14;YOK;7100;9940;Bilgi Yok
PND1655-A;MERİDIAN APLİK;12 CM;METAL MERMER VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.;E14;YOK;6000;8400;Bilgi Yok
PND1656;BRACE APLİK;45X15 CM;METAL VE MERMER  MALZEMEDEN ÜRETİLMEKTEDİR.;LED;VAR;5500;7700;2.500,00 TL
PND1656-A;BRACE APLİK;28X6 CM ;METAL VE ONYX MERMER  MALZEMEDEN ÜRETİLMEKTEDİR;LED;VAR;6900;9660;Bilgi Yok
PND1657;BERAN APLİK;33 Q;METAL VE ONYX MERMER  MALZEMEDEN ÜRETİLMEKTEDİR.;LED;VAR;7500;10500;Bilgi Yok
PND1338/1;GEMPA SARKIT;30 CM ;ÜRÜN CAM VE  MERMER MALZEMEDEN OLUŞMAKTADIR. PİRİNÇ KAPLAMA RENK GÖVCE ŞEFFAF VE BUZ BEYEAZ CAM MERMER BEYAZ  RENKTİR;LED;VAR;3800;5320;645,00 TL
PND1338/2;GEMPA SARKIT;60 CM ;ÜRÜN CAM VE  MERMER MALZEMEDEN OLUŞMAKTADIR. PİRİNÇ KAPLAMA RENK GÖVCE ŞEFFAF VE BUZ BEYEAZ CAM MERMER BEYAZ  RENKTİR;LED;VAR ;6500;9100;1.290,00 TL
PND1338/3;GEMPA SARKIT;90 CM ;ÜRÜN CAM VE  MERMER MALZEMEDEN OLUŞMAKTADIR. PİRİNÇ KAPLAMA RENK GÖVCE ŞEFFAF VE BUZ BEYEAZ CAM MERMER BEYAZ  RENKTİR;LED;VAR ;9000;12600;1.935,00 TL
